Year	Antigua and Barbuda	Barbados	Belize	Canada	Costa Rica	Cuba	Dominica	Dominican Republic	El Salvador	Greenland	Grenada	Guatemala	Haiti	Honduras	Jamaica	Mexico	Nicaragua	Panama	Saint Kitts and Nevis	Saint Lucia	Saint Vincent and the Grenadines	The Bahamas	United States of America	Argentina	Bolivia	Brazil	Chile	Colombia	Ecuador	French Guiana	Guyana	Paraguay	Peru	Suriname	Trinidad and Tobago	Uruguay	Venezuela	Albania	Andorra	Austria	Belarus	Belgium	Bosnia and Herzegovina	Bulgaria	Croatia	Czechia	Denmark (Europe)	Estonia	Finland	France (Europe)	Germany	Greece	Hungary	Iceland	Ireland	Italy	Kosovo	Latvia	Liechtenstein	Lithuania	Luxembourg	Macedonia	Malta	Moldova	Monaco	Montenegro	Netherlands	Norway	Poland	Portugal	Republic of Serbia	Romania	San Marino	Slovakia	Slovenia	Spain	Sweden	Switzerland	Ukraine	United Kingdom (Europe)	Algeria	Angola	Benin	Botswana	Burkina Faso	Burundi	Cabo Verde	Cameroon	Central African Republic	Chad	Comoros	Democratic Republic of the Congo	Djibouti	Equatorial Guinea	Eritrea	Eswatini	Ethiopia	Gabon	Gambia	Ghana	Guinea	Guinea-Bissau	Ivory Coast	Kenya	Lesotho	Liberia	Libya	Madagascar	Malawi	Mali	Mauritania	Mauritius	Morocco	Mozambique	Namibia	Niger	Nigeria	Republic of the Congo	Rwanda	Senegal	Seychelles	Sierra Leone	Somalia	South Africa	South Sudan	Sudan	São Tomé and Principe	Togo	Tonga	Tunisia	Uganda	United Republic of Tanzania	Western Sahara	Zambia	Zimbabwe	Afghanistan	Armenia	Azerbaijan	Bangladesh	Bhutan	Cambodia	China	Georgia	India	Japan	Kazakhstan	Kyrgyzstan	Laos	Maldives	Mongolia	Myanmar	Nepal	North Korea	Pakistan	Russia	South Korea	Sri Lanka	Taiwan	Tajikistan	Thailand	Turkmenistan	Uzbekistan	Vietnam	Bahrain	Cyprus	Egypt	Iran	Iraq	Israel	Jordan	Kuwait	Lebanon	Northern Cyprus	Oman	Palestine	Qatar	Saudi Arabia	Syria	Turkey	United Arab Emirates	Yemen	Australia	Brunei	East Timor	Federated States of Micronesia	Fiji	Indonesia	Kiribati	Malaysia	Marshall Islands	Nauru	New Zealand	Palau	Papua New Guinea	Philippines	Samoa	Singapore	Solomon Islands	Tuvalu	Vanuatu	Arctic Ocean	Indian Ocean	North Atlantic	North Pacific	South Atlantic	South Pacific	Southern Ocean	Antarctica
1850	-0.833019	-0.860540	-0.689255	-0.670709	-9999	-0.426455	-0.854691	-0.689829	-0.814455	-0.853136	-0.859722	-0.768387	-0.644245	-0.745066	-0.578934	-0.930462	-0.817593	-9999	-0.826420	-0.859800	-0.858927	-0.384802	-0.911479	-9999	-9999	-0.930513	-9999	-1.039972	-9999	-0.746420	-0.799681	-9999	-9999	-0.761200	-0.861334	-9999	-0.939547	-1.099714	-0.606044	-0.814813	-0.623563	-0.840693	-0.985366	-0.970782	-0.943255	-0.773032	-0.818484	-0.922950	-1.033850	-0.655659	-0.892375	-1.183085	-0.749398	-0.627595	-0.246615	-1.033413	-1.028257	-0.755237	-0.895379	-0.663249	-0.849273	-1.066244	-1.030527	-0.495188	-0.762005	-1.039653	-0.817173	-0.887831	-0.679164	-0.380553	-0.921610	-0.768196	-1.121305	-0.693586	-0.969481	-0.468024	-0.893253	-0.774987	-0.470890	-0.427286	-0.836315	-9999	-0.902082	-9999	-0.899958	-0.933537	-0.896362	-9999	-9999	-9999	-0.956474	-0.929407	-9999	-9999	-9999	-9999	-0.947397	-9999	-0.803917	-0.900040	-0.867296	-0.821943	-0.893406	-0.950563	-9999	-0.876947	-1.151808	-1.001001	-0.946348	-0.844324	-0.758110	-9999	-0.686220	-0.966825	-9999	-9999	-9999	-9999	-0.937765	-0.816465	-1.035202	-0.856770	-0.962658	-9999	-9999	-9999	-9999	-0.895250	-9999	-0.905777	-0.942335	-0.935328	-0.699129	-0.901155	-0.945881	-0.946368	-1.075543	-1.044895	-0.769846	-0.739552	-0.975655	-1.073599	-0.966163	-0.839836	-0.947075	-1.138883	-1.130927	-0.917387	-0.952787	-1.553729	-0.852318	-0.774928	-1.333394	-0.939396	-1.099299	-1.136186	-0.840082	-0.812836	-1.135273	-0.923422	-0.977004	-1.034570	-0.950050	-1.195419	-1.198936	-1.308910	-0.990898	-1.205120	-1.267298	-1.296934	-1.183558	-1.183098	-1.195866	-1.071091	-1.238197	-1.182425	-1.238888	-1.183552	-1.149934	-1.125721	-9999	-9999	-1.080273	-9999	-9999	-9999	-1.051840	-9999	-1.002974	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-0.907475	-9999	-9999	-9999	-0.557056	-0.220418	-0.100020	-0.491192	-0.449600	-0.299872	-9999	-9999	
1851	-0.762135	-0.845640	-0.800594	-0.433150	-0.810705	-0.652870	-0.821814	-0.669161	-0.785250	-0.120136	-0.860125	-0.799826	-0.675594	-0.779175	-0.696877	-0.742479	-0.791832	-0.811714	-0.754066	-0.840708	-0.840715	-0.629532	-0.436028	-9999	-9999	-0.713873	-9999	-0.840130	-9999	-0.971426	-0.920843	-0.702503	-9999	-0.951437	-0.874331	-0.727859	-0.877460	-0.672754	-1.145774	-1.035782	0.164422	-0.667948	-0.733204	-0.172281	-0.831602	-0.768414	-0.397943	-0.041476	0.055416	-0.900541	-0.778473	-0.627405	-0.518342	0.008672	-0.287271	-0.950953	-0.547898	0.028761	-1.234732	0.029259	-0.778869	-0.551167	-0.897823	0.617106	-1.053405	-0.634525	-0.611102	-0.169985	-0.212838	-0.460827	-0.455570	0.123192	-0.937051	-0.504551	-0.974719	-0.754084	-0.141915	-1.113504	0.483928	-0.364388	-0.676123	-9999	-0.672691	-9999	-0.664291	-9999	-0.674866	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-0.653027	-0.720888	-0.804609	-0.739283	-0.779438	-9999	-9999	-0.825268	-0.941916	-9999	-9999	-0.563332	-0.412750	-9999	-0.368362	-9999	-9999	-9999	-9999	-9999	-9999	-0.626560	-9999	-0.854731	-9999	-9999	-9999	-9999	-9999	-0.690794	-9999	-0.884153	-9999	-9999	-0.332136	-9999	-9999	-0.658348	0.116532	0.082766	-0.797438	-0.784589	-0.824059	-1.214121	0.228939	-0.866224	-1.182408	-0.599885	-0.946753	-0.773220	-0.739586	-2.141453	-0.765520	-0.853318	-1.660759	-0.802786	-0.406651	-1.425015	-0.704218	-0.737463	-0.913510	-0.794306	-0.361352	-0.546288	-0.786818	-0.513714	-0.370701	-0.782484	-0.304514	-0.288681	-0.441515	-0.452084	-0.365170	-0.319792	-0.338411	-0.722757	-0.401363	-0.552500	-0.605011	-0.261341	-0.173351	-0.614006	-9999	-9999	-0.849560	-9999	-9999	-9999	-0.844105	-9999	-0.833469	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-0.830528	-9999	-9999	-9999	-0.070766	-0.311748	-0.044800	-0.347077	-0.420324	-0.300889	-9999	-9999	
1852	-0.944788	-0.895267	-0.864521	-0.472697	-1.006823	-0.950527	-0.913679	-1.042585	-0.864607	-0.429115	-0.900433	-0.852974	-1.055363	-0.885862	-1.022308	-0.884819	-0.936958	-1.067099	-0.962126	-0.912596	-0.922785	-0.955267	-0.938603	-9999	-9999	-0.680975	-9999	-0.989737	-9999	-0.892460	-0.842384	-0.703230	-9999	-0.862715	-0.889536	-0.741890	-0.959282	-0.212251	0.093613	0.099652	-0.711655	0.473196	-0.129533	-0.360837	-0.098079	0.289607	0.220321	-1.149932	-1.071318	0.136996	0.380391	-0.379013	-0.055301	-0.077805	0.031631	-0.083831	-0.198679	-0.851916	0.182827	-0.528315	0.459204	-0.244536	-0.118746	-0.498918	-0.046938	-0.171405	0.393732	-0.218728	0.124813	-0.080357	-0.161577	-0.276155	-0.141935	-0.004930	-0.097951	0.004619	-0.286568	0.087857	-0.669600	0.284118	-0.393608	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-0.578875	-9999	-9999	-9999	-0.624657	-9999	-0.432775	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-0.136127	-9999	-9999	-0.549686	-9999	-9999	-0.698791	-0.566823	-0.521692	-1.086657	-1.088197	-0.939585	-1.100040	-0.628693	-0.930305	-1.426034	-0.816368	-0.862259	-0.917616	-0.725639	-1.418364	-0.992689	-1.052423	-1.632216	-0.793444	-0.805192	-1.450670	-0.691830	-0.729071	-0.906078	-0.949125	-0.591217	-0.727119	-0.902285	-0.676685	-0.591307	-0.771603	-0.524698	-0.649889	-0.621141	-0.668856	-0.672428	-0.563347	-0.615440	-9999	-0.594830	-0.673395	-0.770645	-0.600945	-0.672585	-9999	-9999	-9999	-0.946003	-9999	-9999	-9999	-0.942823	-9999	-0.934145	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-0.934086	-9999	-9999	-9999	-0.253273	-0.213626	0.041981	-0.211771	-0.289247	-0.323531	-9999	-9999	
1853	-0.734804	-0.687916	-1.143511	-0.647568	-0.925558	-0.827944	-0.721907	-0.777784	-1.088568	-0.561855	-0.694843	-1.154890	-0.774208	-1.059034	-0.816780	-1.031534	-1.001017	-0.855797	-0.735609	-0.704592	-0.715366	-0.737761	-0.644600	-9999	-9999	-0.636106	-9999	-0.872341	-9999	-0.728123	-0.733480	-0.687080	-9999	-0.729527	-0.716806	-0.727482	-0.808008	-0.084041	-1.274093	-0.916416	-0.514723	-1.289803	-0.377948	0.180872	-0.531345	-1.265930	-1.256922	-0.452964	0.087813	-1.080807	-1.421197	0.052711	-0.616250	-0.523365	-1.010447	-0.518140	-0.076652	-0.619822	-0.913305	-0.728243	-1.281453	-0.009575	-0.074080	0.167927	-0.953913	-0.145373	-1.402215	-0.162348	-1.056087	-1.329711	-0.186332	0.039146	-0.518763	-0.802199	-0.623443	-1.224483	-0.379280	-0.988587	-0.020498	-0.977368	-0.496941	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-0.744390	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-0.307253	-0.776327	-9999	-9999	-0.603651	-0.833397	-0.746820	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-0.814793	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-0.283550	-9999	-9999	-0.660608	-9999	-9999	-0.788388	-0.149230	-0.275641	-0.571787	-0.583049	-0.633179	-0.938136	-0.060949	-0.636347	-0.900609	-1.223125	-1.282482	-0.511251	-0.622190	-1.780611	-0.554306	-0.678338	-1.264520	-0.789467	-0.909198	-0.940639	-0.440273	-0.267746	-1.167988	-0.595373	-0.704163	-0.960846	-0.531694	-0.633316	0.124952	-0.329836	-0.481119	-0.279764	-0.104477	-0.157221	-0.478336	-0.012545	0.139492	-9999	-0.073948	-0.678165	-0.602531	-0.053955	0.147971	-9999	-9999	-0.887823	-0.809864	-9999	-9999	-9999	-0.890097	-9999	-0.800650	-9999	-9999	-0.999913	-9999	-9999	-0.664251	-9999	-0.827137	-9999	-9999	-9999	-0.190418	-0.208143	-0.143752	-0.288873	-0.414213	-0.286815	-9999	-9999	
1854	-0.854191	-0.824600	-1.187601	-0.793684	-0.978540	-0.858601	-0.831758	-0.827402	-1.168262	-1.032436	-0.843273	-1.207514	-0.828865	-1.151520	-0.866856	-0.888966	-1.089472	-0.885241	-0.864849	-0.828930	-0.834452	-0.766325	-0.256796	-9999	-9999	-0.571693	-9999	-0.826395	-9999	-0.842653	-0.910585	-0.554405	-9999	-0.889874	-0.867887	-0.589352	-0.883675	-0.733102	-0.736597	-0.694465	-0.279838	-0.311796	-0.678020	-0.642382	-0.684306	-0.605058	-0.294516	-0.041039	0.147348	-0.474771	-0.481603	-0.800398	-0.608326	-0.449161	-0.284545	-0.690843	-0.662730	-0.169508	-0.749360	-0.256565	-0.367557	-0.698291	-0.860729	-0.607724	-0.499680	-0.675159	-0.346024	0.064233	-0.422525	-0.549987	-0.618034	-0.552592	-0.684253	-0.601176	-0.708566	-0.505229	0.070826	-0.575536	-0.518151	-0.225661	-0.750584	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-0.617233	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-0.825270	-0.681265	-9999	-9999	-0.664040	-0.829659	-0.756853	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-0.688612	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-0.720528	-9999	-9999	-0.683445	-9999	-9999	-0.615463	-1.050589	-0.960146	-0.554438	-0.541528	-0.600756	-0.450186	-1.030953	-0.535192	-0.908573	-0.207983	-0.444237	-0.465521	-0.599329	-0.467863	-0.531698	-0.561859	-0.749661	-0.595129	-0.218843	-0.998523	-0.551289	-0.535875	-0.607361	-0.578863	-0.632572	-0.508625	-0.499168	-0.869595	-0.891823	-0.864025	-0.781317	-1.015043	-0.917604	-0.956102	-0.913656	-0.905396	-0.908398	-9999	-0.910721	-0.817030	-0.831886	-0.975538	-0.942834	-9999	-9999	-0.621500	-0.740377	-9999	-9999	-9999	-0.825165	-9999	-0.788919	-9999	-9999	-0.227872	-9999	-9999	-0.612080	-9999	-0.904243	-9999	-9999	-9999	-0.368836	-0.346255	-0.016063	-0.247274	-0.635706	-0.166399	-9999	-9999	
1855	-0.678730	-0.713669	-1.179369	-1.010339	-0.873585	-0.828880	-0.692823	-0.603411	-1.089603	-1.218124	-0.715830	-1.172953	-0.617147	-1.059866	-0.711369	-0.969687	-0.963612	-0.777992	-0.676817	-0.708960	-0.707096	-0.708359	-0.701769	-9999	-9999	-0.562675	-9999	-0.737707	-9999	-0.703213	-0.714216	-0.791008	-9999	-0.716551	-0.706636	-0.785778	-0.722359	-0.365606	-0.947248	-0.997295	-1.399979	-1.748912	-0.516705	-0.242381	-0.663483	-1.486194	-1.864074	-1.364504	-1.307406	-1.139746	-1.818101	-0.361876	-0.762463	-0.985020	-1.235322	-0.729430	-0.325541	-1.551768	-1.038244	-1.714221	-1.659065	-0.313807	-0.356298	-0.590523	-1.051498	-0.370469	-1.975095	-1.252643	-1.693859	-1.368159	-0.386108	-0.388578	-0.748995	-1.101539	-0.783020	-1.210036	-1.423872	-1.143544	-0.654075	-1.369250	-0.582069	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-0.726309	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-0.672215	-0.408264	-0.850266	-9999	-9999	-0.641478	-1.169167	-0.870304	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-0.792202	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-0.387817	-9999	-9999	-0.733805	-9999	-9999	-0.354526	-0.155751	-0.169291	-0.670557	-0.661021	-0.866364	-0.448236	-0.054235	-0.563398	-0.619546	-0.007033	-0.239624	-0.828371	-0.635675	-0.149470	-0.740829	-0.607024	-0.281459	-0.518181	-0.345927	-0.616887	-0.568808	-0.929117	-0.357521	-0.813101	-0.064110	-0.045538	-0.864485	-0.616598	-0.357662	-0.537882	-0.320740	-0.430178	-0.503370	-0.527105	-0.510143	-0.425406	-0.335543	-9999	-0.480688	-0.636587	-0.651157	-0.405415	-0.260649	-9999	-9999	-0.444088	-0.866936	-9999	-9999	-9999	-0.821953	-9999	-0.845236	-9999	-9999	0.136443	-9999	-9999	-0.853622	-9999	-0.840271	-9999	-9999	-9999	-0.548751	-0.216024	0.008553	-0.157316	-0.508593	-0.171879	-9999	-9999	
1856	-0.554789	-0.733366	-0.867464	-0.224395	-0.558187	-0.414043	-0.646734	-0.286535	-0.757174	0.476944	-0.729845	-0.856096	-0.241940	-0.735458	-0.240389	-0.957003	-0.628740	-0.439760	-0.502159	-0.670429	-0.636650	-0.323385	-1.119275	-0.841526	-1.163582	-0.995974	-0.931427	-0.635332	-9999	-0.992399	-0.977671	-1.138441	-9999	-1.018387	-0.734118	-0.612196	-0.665710	-0.672664	-0.160255	-0.502379	-0.848933	-0.269925	-0.602416	-0.733540	-0.577400	-0.570909	-1.028364	-1.811071	-2.436735	-0.280472	-0.535925	-0.771346	-0.696214	-0.026365	-0.405307	-0.483323	-0.658079	-1.308697	-0.303235	-1.005504	-0.272600	-0.693670	-0.604368	-0.727025	-0.253566	-0.636971	-0.498161	-1.568136	-0.678995	-0.247211	-0.685419	-0.762467	-0.492189	-0.618202	-0.521310	-0.075552	-1.784760	-0.317668	-0.550759	-0.466114	-0.603775	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-0.814283	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-0.831606	-0.905359	-9999	-9999	-0.736870	-1.130701	-0.649836	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-0.879637	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-0.506985	-9999	-9999	-0.700079	-9999	-9999	-0.679235	-0.678151	-0.659305	-0.990263	-0.940066	-1.122238	-0.801711	-0.620585	-0.920517	-0.862642	-0.355646	-0.517963	-1.195562	-0.855848	-0.546917	-1.056524	-0.878360	-0.683841	-0.780186	-0.763715	-0.726064	-0.856823	-1.222567	-0.680085	-1.083624	-0.537799	-0.492384	-1.202559	-0.865347	-0.891521	-0.972742	-0.709122	-0.917503	-0.943665	-0.976852	-0.896074	-0.893032	-0.881464	-9999	-0.923182	-0.834982	-9999	-0.888235	-0.829057	-9999	-9999	-0.593248	-1.004044	-9999	-9999	-9999	-0.847900	-9999	-0.891981	-9999	-9999	-0.421060	-9999	-9999	-1.121662	-9999	-0.708698	-9999	-9999	-9999	-0.479906	-0.256343	-0.301716	-0.460546	-0.351570	-0.338896	-9999	-9999	
1857	-1.126156	-1.169167	-0.990799	-0.881746	-1.056622	-1.295588	-1.152376	-1.317169	-0.938955	-1.021950	-1.219940	-0.911880	-1.358833	-1.029472	-1.380913	-0.766079	-1.083271	-1.147520	-1.150208	-1.181936	-1.195915	-1.330568	-1.134326	-0.662621	-1.282515	-0.991167	-1.014726	-1.268583	-9999	-1.104345	-1.199091	-0.899572	-9999	-1.141722	-1.235035	-0.022976	-1.296303	-0.740655	-0.423560	-0.296905	-0.062992	0.550468	-0.556836	-0.952314	-0.471571	-0.204667	0.443576	-0.098837	-0.550852	-0.074076	0.215666	-0.925792	-0.385652	-0.180527	0.313980	-0.559666	-0.717462	-0.029953	-0.260736	0.023306	0.439634	-0.780254	-0.706774	-0.653240	-0.491718	-0.676661	0.511013	-0.149286	-0.044540	-0.611346	-0.632280	-0.719112	-0.503534	-0.352289	-0.398753	-0.481721	-0.066826	-0.209394	-0.419777	0.580043	-0.812878	-9999	-9999	-0.949011	-9999	-9999	-9999	-9999	-9999	-9999	-1.060013	-9999	-9999	-9999	-9999	-1.034887	-9999	-9999	-9999	-9999	-1.040724	-9999	-1.037107	-9999	-1.023682	-1.049425	-0.975126	-1.126219	-9999	-9999	-0.968384	-1.283754	-0.903757	-9999	-0.891497	-9999	-9999	-9999	-9999	-9999	-1.120697	-1.044712	-9999	-0.997704	-9999	-9999	-9999	-9999	-9999	-0.661528	-9999	-9999	-0.949429	-9999	-9999	-1.187958	-1.377683	-1.322491	-1.293587	-1.240452	-1.174700	-0.969595	-1.427217	-1.305643	-0.952111	-1.470231	-1.299319	-1.138439	-1.024656	-1.115739	-1.214598	-1.269227	-0.822135	-1.191864	-1.158353	-0.745488	-1.018782	-0.768358	-1.355873	-1.185011	-1.286698	-1.370001	-1.121588	-1.278770	-1.270952	-1.233751	-1.184793	-1.362469	-1.277699	-1.326334	-1.378231	-1.242374	-1.270771	-9999	-1.264969	-1.210392	-1.266506	-1.285591	-1.313437	-9999	-9999	-0.830482	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-0.493457	-9999	-9999	-1.097935	-9999	-9999	-9999	-9999	-9999	-0.523531	-0.482760	-0.313231	-0.580179	-0.565533	-0.253227	-9999	-9999	
1858	-1.123224	-1.119003	-0.693729	-0.884328	-0.842035	-1.105179	-1.129366	-1.226419	-0.585840	-1.006859	-1.116091	-0.569391	-1.241371	-0.733290	-1.200356	-0.618975	-0.807125	-0.966324	-1.146763	-1.140100	-1.150242	-1.196129	-0.736780	-0.849550	-1.045101	-1.031775	-0.830864	-0.977282	-9999	-0.841932	-0.930031	-1.206619	-9999	-0.879856	-1.108120	-0.854021	-1.080042	-1.139213	-0.150638	-1.297588	-0.722439	-0.648222	-1.239217	-1.387035	-1.256086	-1.466619	-0.327608	0.285582	0.527745	-0.502396	-0.979290	-1.067405	-1.549708	-0.370503	-0.236981	-0.923862	-1.270753	-0.055032	-0.947540	-0.441883	-0.710971	-1.219989	-0.755365	-1.770820	-0.829012	-1.222647	-0.697869	0.219315	-1.282070	-0.107176	-1.415466	-1.753420	-1.045660	-1.673213	-1.236834	0.007047	0.319685	-0.877244	-1.350548	-0.315267	-0.173185	-9999	-9999	-0.623123	-9999	-9999	-9999	-9999	-9999	-9999	-0.657301	-9999	-9999	-9999	-9999	-0.703009	-9999	-9999	-9999	-9999	-0.892004	-9999	-0.831907	-9999	-0.719749	-0.902924	-0.594481	-0.708410	-9999	-0.540199	-0.512131	-0.817545	-0.180132	-9999	-0.570614	-9999	-9999	-9999	-9999	-9999	-0.726202	-0.923006	-9999	-0.704601	-9999	-9999	-9999	-9999	-9999	-0.326763	-9999	-9999	-0.395784	-9999	-9999	-0.544435	-0.890604	-0.816556	-0.712343	-0.690288	-0.740168	-0.494026	-1.013183	-0.660614	-0.697389	-0.648385	-0.499821	-0.761953	-0.605501	-0.159374	-0.704222	-9999	-0.439758	-9999	-0.286628	-0.661085	-0.502417	-0.969284	-0.638516	-0.691782	-0.608052	-0.687203	-0.793976	-0.517929	-0.638105	-0.634945	-0.456594	-0.538746	-0.611969	-0.593401	-0.457914	-0.605858	-0.661678	-9999	-0.605677	-0.535105	-0.557495	-0.645912	-0.831079	-9999	-9999	-0.481794	-9999	-9999	-9999	-9999	-9999	-9999	-0.758673	-9999	-9999	-0.666647	-9999	-9999	-0.862080	-9999	-0.717537	-9999	-9999	-9999	-0.260161	-0.519939	-0.333887	-0.387090	-0.321006	-0.345101	-9999	-9999	
1859	-1.040348	-1.130192	-0.712626	-1.021408	-0.974600	-0.784517	-1.094210	-1.071970	-0.841076	-1.699642	-1.116129	-0.745173	-1.083485	-0.873667	-1.040577	-0.514851	-0.935219	-0.998217	-1.048153	-1.123371	-1.116083	-0.831621	-0.910259	-0.441849	-0.343224	-0.617332	-0.388130	-0.904224	-9999	-0.689625	-0.849808	-0.443266	-9999	-0.755957	-1.080158	-0.705654	-0.993084	-0.060142	0.190392	0.297863	0.740318	0.677326	0.075648	0.118696	0.109742	0.426186	0.431941	0.654009	0.358955	0.283927	0.593839	-0.198524	0.227203	-1.264975	-0.101085	-0.007884	0.043410	0.678517	0.462995	0.759525	0.725611	-0.014207	-0.160734	0.425830	0.121518	0.027033	0.563202	-0.205216	0.583377	-0.382935	0.130521	0.322379	0.029119	0.321876	0.161971	-0.222303	0.208477	0.405135	0.556551	0.005382	-0.500242	-9999	-9999	-0.505930	-9999	-0.465012	-9999	-9999	-9999	-9999	-0.505028	-9999	-9999	-9999	-9999	-0.548349	-9999	-9999	-9999	-9999	-0.193766	-9999	-0.313625	-0.490959	-0.598674	-0.290947	-0.559462	-0.538519	-0.473272	-0.359182	-0.239874	-0.663801	-0.424444	-0.495682	-0.476341	-9999	-9999	-9999	-0.469547	-9999	-0.575970	-0.225527	-0.489336	-0.620075	-9999	-9999	-9999	-9999	-9999	-0.309528	-0.474360	-0.476774	-0.319775	-0.432619	-0.483099	-0.321284	-0.318272	-0.217479	-0.635462	-0.565094	-0.722229	-0.376325	-0.247675	-0.582771	-0.780815	0.256754	-0.066763	-0.709873	-0.596659	-0.067395	-0.655327	-9999	-0.642488	-9999	0.082903	-0.669611	-0.630816	-0.736937	-0.304434	-0.704830	-0.205079	-0.167688	-0.714836	-0.510000	-0.457872	-0.616037	-0.299143	-0.441881	-0.474058	-0.490776	-0.465437	-0.409035	-0.456264	-9999	-0.447298	-0.503529	-0.570353	-0.417524	-0.301729	-9999	-9999	-0.558403	-0.680233	-9999	-9999	-9999	-9999	-9999	-0.655420	-9999	-9999	-0.872298	-9999	-9999	-0.709633	-9999	-0.621605	-9999	-9999	-9999	-0.481715	-0.261453	-0.216057	-0.571225	-0.289677	-0.405725	-9999	-9999	
